RADIX company_id,FILE TYPE,Blacknight Location,Blacknight Filename,File Suffix,Transfer Company Doc,Target Site Destination Folder,Target Site File Name,name,description
67,Method Statement,/var/www/html/public/uploads/companies/67,16919,.pdf,TRANSFER,,TC-RAMS-04 Locating Underground Services Rev 01.pdf,TC-RAMS-04 Locating Underground Services Rev 01.pdf,Locating Underground Services
67,Method Statement,/var/www/html/public/uploads/companies/67,16920,.pdf,TRANSFER,,TC-RAMS-07 Removal of Exisiting Mast and Installation of New Mast Rev 01.pdf,TC-RAMS-07 Removal of Exisiting Mast and Installation of New Mast Rev 01.pdf,Mast Replacement
67,Method Statement,/var/www/html/public/uploads/companies/67,16921,.pdf,TRANSFER,,TC-RAMS-08 Palisade Fencing and Gates Rev 01.pdf,TC-RAMS-08 Palisade Fencing and Gates Rev 01.pdf,Pallisade Fencing and Gates
67,Method Statement,/var/www/html/public/uploads/companies/67,17641,.pdf,TRANSFER,,TC237 RAMS Tower upgrade_Plinth Installation_Gantry Erection.pdf,TC237 RAMS Tower upgrade_Plinth Installation_Gantry Erection.pdf,Tower Upgrade_Plinth Installation
146,H&S Plan,/var/www/html/public/uploads/companies/146,18087,.pdf,TRANSFER,,TP Insurance 2022 EL.pdf,TP Insurance 2022 EL.pdf,
159,Method Statement,/var/www/html/public/uploads/companies/159,19932,.doc,TRANSFER,,MS_GRA_Work type 3_v1_Climb Down_TC.doc,MS_GRA_Work type 3_v1_Climb Down_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19933,.doc,TRANSFER,,MS_GRA_Work type 4_v1__Decommission Antenna.Equipment_TC.doc,MS_GRA_Work type 4_v1__Decommission Antenna.Equipment_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19934,.doc,TRANSFER,,MS_GRA_Work type 5_v1__Decommission Dish.Equipment_TC.doc,MS_GRA_Work type 5_v1__Decommission Dish.Equipment_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19935,.doc,TRANSFER,,MS_GRA_Work type 6_v1__Decommission Ground Equipment_TC.doc,MS_GRA_Work type 6_v1__Decommission Ground Equipment_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19936,.doc,TRANSFER,,MS_GRA_Work type 11_v1__Steel Install_TC.doc,MS_GRA_Work type 11_v1__Steel Install_TC.doc,
