Site ID,Site Name,Blackknight Location,Filename,Target Site Destination Folder,Target Site File Name
TCK2012,Churchfield,/var/www/html/public/uploads/sites/Churchfield - TCK2012/Licence Maps/,Churchfield - TCK2012 - TCF01 - Rev 1.0.pdf,,Churchfield - TCK2012 - TCF01 - Rev 1.0.pdf
TGY1014,Clifden O'Malley,/var/www/html/public/uploads/sites/Clifden O'Malley - TGY1014/Licence Maps/,Clifden O'Malley - TGY1014 - TCF01 - Rev 1.0.pdf,,Clifden O'Malley - TGY1014 - TCF01 - Rev 1.0.pdf
TDU2013,Coolmine,/var/www/html/public/uploads/sites/Coolmine - TDU2013/Licence Maps/,Coolmine - TDU2013 - TCF01 - Rev 1.0.pdf,,Coolmine - TDU2013 - TCF01 - Rev 1.0.pdf
TCK1015,Coronea,/var/www/html/public/uploads/sites/Coronea - TCK1015/Licence Maps/,Coronea - TCK1015 - TCF01 - Rev 1.0.pdf,,Coronea - TCK1015 - TCF01 - Rev 1.0.pdf
TKY1016,Curraross,/var/www/html/public/uploads/sites/Curraross - TKY1016/Licence Maps/,Curraross - TKY1016 - TCF01 - Rev 1.0.pdf,,Curraross - TKY1016 - TCF01 - Rev 1.0.pdf
TKY1017,Derryquin,/var/www/html/public/uploads/sites/Derryquin - TKY1017/Licence Maps/,Derryquin - TKY1017 - TCF01 - Rev 1.0.pdf,,Derryquin - TKY1017 - TCF01 - Rev 1.0.pdf
TKY2014,Dingle,/var/www/html/public/uploads/sites/Dingle - TKY2014/Licence Maps/,Dingle - TKY2014 - TCF01 - Rev 1.0.pdf,,Dingle - TKY2014 - TCF01 - Rev 1.0.pdf
TWX1018,Drumgold,/var/www/html/public/uploads/sites/Drumgold - TWX1018/Licence Maps/,Drumgold - TWX1018 - TCF01 - Rev 1.0.pdf,,Drumgold - TWX1018 - TCF01 - Rev 1.0.pdf
TLH2015,Dundalk Ramparts,/var/www/html/public/uploads/sites/Dundalk Ramparts - TLH2015/Licence Maps/,Dundalk Ramparts - TLH2015 - Record.pdf,,Dundalk Ramparts - TLH2015 - Record.pdf
TDL2016,Dunglow,/var/www/html/public/uploads/sites/Dunglow - TDL2016/Licence Maps/,Dunglow Licence Map TCF.pdf,,Dunglow Licence Map TCF.pdf
